진료년도,표시과목,주상병코드,환자수,명세서 청구건수,요양급여비용총액,보험자부담금
2018,일반의,A01,5,9,255220,179120
2018,일반의,A02,203,322,36903410,30074850
2018,일반의,A03,5,6,94380,66480
2018,일반의,A04,125981,174086,3390257280,2532840120
2018,일반의,A05,7261,9892,206556600,156198400
2018,일반의,A06,725,932,15189340,11159040
2018,일반의,A07,617,780,11194660,8462160
2018,일반의,A08,63055,82461,1549937180,1166862930
2018,일반의,A09,810592,1143585,21619192250,16114755410
2018,일반의,A15,429,3240,151934700,146495230
2018,일반의,A16,585,2195,110969150,96583470
2018,일반의,A17,6,28,374970,291670
2018,일반의,A18,134,557,16517560,13737250
2018,일반의,A19,9,11,189830,155930
2018,일반의,A21,1,1,15310,10810
2018,일반의,A25,4,6,61930,51230
2018,일반의,A26,79,139,2292680,1753880
2018,일반의,A27,1,1,345800,271950
2018,일반의,A28,40,50,1128240,812440
2018,일반의,A30,94,131,6672210,5156860
2018,일반의,A31,691,1985,69745510,50427610
2018,일반의,A35,72,97,2789720,1995720
2018,일반의,A36,3,3,50480,35480
2018,일반의,A37,47,61,20159460,17561360
2018,일반의,A38,501,933,34128880,28333340
2018,일반의,A39,4,5,147600,103500
2018,일반의,A40,72,134,2100050,1574950
2018,일반의,A41,155,276,29874920,23228350
2018,일반의,A42,51,79,1492110,1056710
2018,일반의,A43,1,2,25230,17730
2018,일반의,A44,2,2,67740,50540
2018,일반의,A46,354,759,19075610,14505310
2018,일반의,A48,579,1229,23053690,17151330
2018,일반의,A49,11084,20053,744436240,528925340
2018,일반의,A50,4,4,85290,64590
2018,일반의,A51,541,944,63753210,44840540
2018,일반의,A52,38,99,3629330,2583430
2018,일반의,A53,833,1269,62624560,47558360
2018,일반의,A54,1476,2765,109102460,77003660
2018,일반의,A55,51,83,2094750,1470050
2018,일반의,A56,5301,8798,348207540,246284840
2018,일반의,A57,31,69,1897830,1375630
2018,일반의,A58,3,4,68490,48290
2018,일반의,A59,12120,20789,740987300,522495020
2018,일반의,A60,18614,32481,709142520,513121540
2018,일반의,A63,27497,47722,3165639830,2223985610
2018,일반의,A64,3851,6142,368751870,259414570
2018,일반의,A65,2,2,42060,29460
2018,일반의,A66,52,73,1816770,1304670
2018,일반의,A67,2,2,30620,21620
2018,일반의,A69,3588,5408,97928990,73718990
2018,일반의,A71,12,17,332470,254070
2018,일반의,A74,402,549,13068750,9185850
2018,일반의,A75,791,1498,84357310,64326110
2018,일반의,A77,66,76,1070370,797770
2018,일반의,A79,44,79,1583650,1177750
2018,일반의,A81,1,128,2083840,1469440
2018,일반의,A82,5,13,250490,183690
2018,일반의,A85,2,3,124550,97850
2018,일반의,A86,57,83,7832910,6904820
2018,일반의,A87,800,1093,30803780,24089810
2018,일반의,A88,412,684,11071730,8719730
2018,일반의,A92,2,3,36500,25700
2018,일반의,A93,5,5,189070,135570
2018,일반의,A95,1,1,99120,69420
2018,일반의,A97,2,2,30630,21630
2018,일반의,A98,1,1,76110,75110
2018,일반의,B00,216735,306390,4810946440,3563782720
2018,일반의,B01,11925,22608,395693550,301332460
2018,일반의,B02,200412,470617,9423625500,7069230810
2018,일반의,B05,23,34,651950,482150
2018,일반의,B06,21,28,590050,436550
2018,일반의,B07,105437,228695,11428007300,8074266900
2018,일반의,B08,56826,87674,2095276310,1604078890
2018,일반의,B09,2187,2834,43845390,33523230
2018,일반의,B15,151,235,19478970,15069110
2018,일반의,B16,344,529,19653470,13972080
2018,일반의,B17,3175,4840,263718820,187855330
2018,일반의,B18,22680,61055,3946662490,2795454140
2018,일반의,B19,953,1378,70064520,50323200
2018,일반의,B20,1,1,17480,12280
2018,일반의,B21,1,1,21020,14720
2018,일반의,B24,17,21,338670,266370
2018,일반의,B25,7,57,4068390,3512290
2018,일반의,B26,1609,2578,53980750,40469370
2018,일반의,B27,66,109,5618750,4666860
2018,일반의,B30,5550,8899,144809720,108448640
2018,일반의,B33,3265,4586,79796810,58338310
2018,일반의,B34,2049,2993,99287570,83861570
2018,일반의,B35,758899,1595839,23763066630,17731915340
2018,일반의,B36,20256,29227,456974200,333143360
2018,일반의,B37,104528,191870,5805287150,4120168620
2018,일반의,B38,4,8,120120,91520
2018,일반의,B39,2,2,28650,22650
2018,일반의,B40,2,2,25680,22680
2018,일반의,B43,739,1057,29567880,21313520
2018,일반의,B44,12,34,550170,405370
2018,일반의,B45,1,1,15310,13810
2018,일반의,B46,25,32,493610,365110
2018,일반의,B47,103,153,2208770,1683170
2018,일반의,B48,653,1356,19532980,14612480
2018,일반의,B49,1914,4209,69169080,51170580
2018,일반의,B50,2,2,30060,21160
2018,일반의,B51,5,5,68440,50040
2018,일반의,B53,4,4,56390,41490
2018,일반의,B54,115,120,1963110,1454410
2018,일반의,B56,4,6,65830,46630
2018,일반의,B58,48,104,1518690,1076390
2018,일반의,B60,29,35,663350,481450
2018,일반의,B64,19,22,340980,250480
2018,일반의,B65,16,20,301890,231590
2018,일반의,B66,822,1001,16500370,12123370
2018,일반의,B67,2,2,529780,370980
2018,일반의,B68,17,18,432400,307100
2018,일반의,B69,16,35,1167650,857450
2018,일반의,B71,2,4,54350,42050
2018,일반의,B73,2,2,31520,22220
2018,일반의,B75,1,1,16200,12800
2018,일반의,B76,26,30,544460,418760
2018,일반의,B77,27,27,658250,482850
2018,일반의,B78,1,1,19110,13410
2018,일반의,B79,25,25,1178050,828050
2018,일반의,B80,120,143,2401880,1856180
2018,일반의,B81,36,42,6071400,4266000
2018,일반의,B82,67,71,2559550,1833650
2018,일반의,B83,288,329,5774950,4237850
2018,일반의,B85,3806,4508,76598270,55878570
2018,일반의,B86,8978,13927,215311350,162919850
2018,일반의,B87,6,11,162210,140010
2018,일반의,B88,3388,4988,124676320,91012320
2018,일반의,B89,118,129,2701360,1969560
2018,일반의,B90,474,714,40762810,29445910
2018,일반의,B91,19,132,4440620,3114920
2018,일반의,B92,1,1,15310,13810
2018,일반의,B94,35,50,3305010,2347810
2018,일반의,B96,28,55,1777540,1339750
2018,일반의,B97,1159,2001,106455270,75101450
2018,일반의,B98,2638,3318,68244650,48637550
2018,일반의,B99,330,436,8097100,6266710
2018,일반의,C00,9,12,1163500,1047830
2018,일반의,C01,17,145,9051860,8305940
2018,일반의,C02,80,396,51359330,45938690
2018,일반의,C03,15,155,50414490,47273760
2018,일반의,C04,6,10,4254520,3959630
2018,일반의,C05,15,122,34997830,32785880
2018,일반의,C06,47,309,62474390,58068610
2018,일반의,C07,18,42,13090240,12052240
2018,일반의,C08,45,321,67796150,62979520
2018,일반의,C09,69,278,38356720,35542660
2018,일반의,C10,33,195,46461580,43490870
2018,일반의,C11,76,363,39098380,35877290
2018,일반의,C12,3,14,488120,436150
2018,일반의,C13,41,297,80741000,75768740
2018,일반의,C14,10,32,2511820,2293610
2018,일반의,C15,445,2449,339966920,315075990
2018,일반의,C16,4417,24635,1911183760,1777221160
2018,일반의,C17,75,458,52460230,49447840
2018,일반의,C18,2442,14802,1537075600,1432201290
2018,일반의,C19,268,1823,170835180,158319350
2018,일반의,C20,1139,6439,890278450,820284750
2018,일반의,C21,73,398,16902090,15205920
2018,일반의,C22,2054,9877,1595222490,1482954570
2018,일반의,C23,266,1312,354363410,330753550
2018,일반의,C24,479,2715,623533000,582367230
2018,일반의,C25,1047,6720,1544016700,1445042200
2018,일반의,C26,64,421,9172640,8271150
2018,일반의,C30,22,95,3090140,2758440
2018,일반의,C31,33,532,40754940,38000470
2018,일반의,C32,144,846,65357430,60359040
2018,일반의,C33,10,53,2462370,2157970
2018,일반의,C34,3211,19354,2879844940,2672404450
2018,일반의,C37,74,410,222063750,208336840
2018,일반의,C38,25,180,10917870,9949280
2018,일반의,C39,27,137,2550690,2376190
