진료년도,표시과목,주상병코드,환자수,명세서 청구건수,입내원일수,요양급여비용총액,보험자부담금
2019,일반의,A00,12,21,21,347930,267430
2019,일반의,A01,8,10,15,1014360,773620
2019,일반의,A02,154,203,487,40631780,34241100
2019,일반의,A03,5,6,12,1566380,1417050
2019,일반의,A04,114046,159062,163241,3336746310,2495481790
2019,일반의,A05,6843,9343,9843,211956470,162947390
2019,일반의,A06,537,646,646,10961090,8151690
2019,일반의,A07,592,764,764,11096850,8393850
2019,일반의,A08,59933,79756,81366,1618386610,1235472700
2019,일반의,A09,783911,1117885,1134809,22586574290,16909751090
2019,일반의,A15,394,2555,2620,132256110,126879880
2019,일반의,A16,614,2247,2359,110774720,97468080
2019,일반의,A17,5,34,34,1438670,1417670
2019,일반의,A18,112,443,457,16575970,14002510
2019,일반의,A19,5,10,10,90530,70430
2019,일반의,A20,2,3,3,70380,49380
2019,일반의,A22,4,4,4,108180,79580
2019,일반의,A24,3,3,3,44400,34700
2019,일반의,A25,3,3,3,67740,53440
2019,일반의,A26,66,93,93,1631060,1228660
2019,일반의,A27,3,3,3,112110,85010
2019,일반의,A28,37,48,49,1521680,1088400
2019,일반의,A30,109,186,463,20397500,15184930
2019,일반의,A31,682,1583,1718,61536900,44727580
2019,일반의,A32,1,1,1,56660,39760
2019,일반의,A35,65,74,74,2563060,1808560
2019,일반의,A37,12,19,45,5673440,4888840
2019,일반의,A38,282,471,537,17561130,14565230
2019,일반의,A39,3,4,4,54410,42610
2019,일반의,A40,30,32,32,704450,510250
2019,일반의,A41,144,310,410,21304870,17014910
2019,일반의,A42,39,54,54,1126610,791710
2019,일반의,A44,2,2,2,70250,49250
2019,일반의,A46,340,701,727,16044520,12099730
2019,일반의,A48,717,1237,1237,30103410,21568240
2019,일반의,A49,12195,23285,23507,838832190,598503280
2019,일반의,A50,7,8,8,214220,150220
2019,일반의,A51,736,1348,1350,107010850,75038510
2019,일반의,A52,30,77,77,3449480,2510130
2019,일반의,A53,973,1368,1371,72957100,55123770
2019,일반의,A54,1784,3075,3079,141288190,99654620
2019,일반의,A55,103,129,129,2524020,1774920
2019,일반의,A56,6750,11272,11275,504055850,354180950
2019,일반의,A57,19,33,33,1200930,873030
2019,일반의,A58,8,9,9,304960,219560
2019,일반의,A59,9446,16377,16377,554977520,391328450
2019,일반의,A60,19716,34875,34890,855736940,616676150
2019,일반의,A63,33980,58848,58857,4416767340,3100456940
2019,일반의,A64,4941,8111,8111,533167060,375120370
2019,일반의,A65,5,5,5,94440,72140
2019,일반의,A66,46,50,50,820780,590980
2019,일반의,A67,14,14,14,236150,195650
2019,일반의,A69,3468,5261,5281,97057740,72828530
2019,일반의,A71,5,6,6,85910,60510
2019,일반의,A74,471,581,581,12442530,8782630
2019,일반의,A75,688,1247,1763,98940120,75638580
2019,일반의,A77,88,130,130,3007370,2211470
2019,일반의,A78,1,1,1,11210,7910
2019,일반의,A79,60,85,85,1728650,1285250
2019,일반의,A80,2,2,2,29350,20650
2019,일반의,A81,2,109,109,1819320,1276320
2019,일반의,A83,1,1,1,15690,10990
2019,일반의,A85,2,2,2,65320,51220
2019,일반의,A86,174,217,350,26570640,23504930
2019,일반의,A87,958,1476,1826,77018060,65295730
2019,일반의,A88,521,868,868,14966210,11957810
2019,일반의,A92,6,7,7,267090,187190
2019,일반의,A93,4,6,6,86560,64060
2019,일반의,A97,3,3,3,42310,29710
2019,일반의,A98,7,11,40,2886250,2188930
2019,일반의,A99,2,2,2,35270,24770
2019,일반의,B00,227847,323903,324048,5251802510,3890363250
2019,일반의,B01,11250,21056,21481,397146810,303778360
2019,일반의,B02,207437,480731,490764,10072240280,7550433370
2019,일반의,B04,1,1,1,13610,10810
2019,일반의,B05,138,160,160,4577860,3289860
2019,일반의,B06,26,32,32,925170,676070
2019,일반의,B07,114751,251216,251244,13058990290,9226129830
2019,일반의,B08,89004,155576,159273,3677245630,2937673930
2019,일반의,B09,2141,2843,2849,45795220,35728650
2019,일반의,B15,767,1189,1581,109666860,85532670
2019,일반의,B16,347,525,551,24784430,17929120
2019,일반의,B17,3773,5648,5840,319415540,228951200
2019,일반의,B18,22532,61232,61482,4001445570,2819653650
2019,일반의,B19,879,1347,1347,51210140,36363860
2019,일반의,B20,6,24,24,594510,451710
2019,일반의,B23,3,3,3,54920,38620
2019,일반의,B24,12,17,17,249160,199760
2019,일반의,B25,9,162,167,8887300,7944980
2019,일반의,B26,1462,2246,2315,52044900,38779960
